Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
,Anti-Mullerian hormone (pmol/L),,anti-mullerian hormone__pmol/l,,V,NHANES Only
,Estradiol (pmol/L),,estradiol__pmol/l,,V,NHANES Only
,Inhibin B (pg/ml),,inhibin b,,V,NHANES Only
,Progesterone (nmol/L),,progesterone__nmol/l,,V,NHANES Only
,"Testosterone, total (ng/dL)",,testosterone total__ng/dl,,V,NHANES Only
,Antibody against wild type polio virus 1,,antibody against wild type polio virus 1,,V,NHANES Only
,Antibody against wild type polio virus 2,,antibody against wild type polio virus 2,,V,NHANES Only
,Antibody against wild type polio virus 3,,antibody against wild type polio virus 3,,V,NHANES Only
,Cancer antigen 125 (U/mL),,cancer antigen 125,,V,NHANES Only
,Cancer antigen 125 IgG index,,cancer antigen 125 igg index,,V,NHANES Only
,Cancer antigen 125 IgG luminescent units,,cancer antigen 125 igg luminescent units,,V,NHANES Only
,Cancer antigen 15.3 (mU/mL),,cancer antigen 15 3,,V,NHANES Only
,Cancer antigen 15.3 IgG index,,cancer antigen 15 3 igg index,,V,NHANES Only
,Cancer antigen15.3 IgG luminescent unit,,cancer antigen15 3 igg luminescent unit,,V,NHANES Only
,Chlamydia Pgp3 EIA Optical Density,,chlamydia pgp3 eia optical density,,V,NHANES Only
,Chlamydia Ppg3 MBA medium fluorescence intensity,,chlamydia ppg3 mba medium fluorescence intensity,,V,NHANES Only
,Complexed prostate specific antigen (ng/mL),,complexed prostate specific antigen,,V,NHANES Only
,Free prostate specific antigen (ng/mL),,free prostate specific antigen,,V,NHANES Only
,HE4 IgG index,,he4 igg index,,V,NHANES Only
,HE4 IgG luminescent units,,he4 igg luminescent units,,V,NHANES Only
,Mean OD for GII.4 US95/96 antigen,,mean od for gii 4 us95/96 antigen,,V,NHANES Only
,Mean OD for GIV.1 antigen,,mean od for giv 1 antigen,,V,NHANES Only
,Mean optical density for GI.1 antigen,,mean optical density for gi 1 antigen,,V,NHANES Only
,Measles,,measles,,V,NHANES Only
,Measles IgG Antibody Multiplex Bead Assay Quantitative Result (mIU/mL),,measles igg antibody multiplex bead assay quantitative result,,V,NHANES Only
,Measles antibody (IgG),,measles antibody,,V,NHANES Only
,Mumps IgG Antibody Multiplex Bead Assay Quantitative Result (AU/mL),,mumps igg antibody multiplex bead assay quantitative result,,V,NHANES Only
,Mumps antibody (IgG),,mumps antibody,,V,NHANES Only
,Pertactin antibody IU/mL,,pertactin antibody iu/ml,,V,NHANES Only
,Pertussis Filamentous hemagglutinin antibody IU/mL,,pertussis filamentous hemagglutinin antibody iu/ml,,V,NHANES Only
,Pertussis Fimbriae antibody IU/mL,,pertussis fimbriae antibody iu/ml,,V,NHANES Only
,Pertussis toxin antibody IU/mL,,pertussis toxin antibody iu/ml,,V,NHANES Only
,Prostate specific antigen ratio (%),,prostate specific antigen ratio,,V,NHANES Only
,Rubella IgG Antibody Multiplex Bead Assay Quantitative Result (IU/mL),,rubella igg antibody multiplex bead assay quantitative result,,V,NHANES Only
,Rubella antibody (IgG),,rubella antibody,,V,NHANES Only
,Rubella units,,rubella units,,V,NHANES Only
,"Serum IgE antibody to Alternaria Alternata, result (kU/L)",,serum ige antibody to alternaria alternata result,,V,NHANES Only
,"Serum IgE antibody to Aspergillus Fumigatus, result (kU/L)",,serum ige antibody to aspergillus fumigatus result,,V,NHANES Only
,"Serum IgE antibody to Bermuda Grass, result (kU/L)",,serum ige antibody to bermuda grass result,,V,NHANES Only
,"Serum IgE antibody to Birch Tree, result (kU/L)",,serum ige antibody to birch tree result,,V,NHANES Only
,"Serum IgE antibody to Cat Epithelium and Dander, result (kU/L)",,serum ige antibody to cat epithelium and dander result,,V,NHANES Only
,"Serum IgE antibody to Common Ragweed, result (kU/L)",,serum ige antibody to common ragweed result,,V,NHANES Only
,"Serum IgE antibody to Dermatophagoides Farinae, result (kU/L)",,serum ige antibody to dermatophagoides farinae result,,V,NHANES Only
,"Serum IgE antibody to Dermatophagoides Pteronyssinus, result (kU/L)",,serum ige antibody to dermatophagoides pteronyssinus result,,V,NHANES Only
,"Serum IgE antibody to Dog Dander, result (kU/L)",,serum ige antibody to dog dander result,,V,NHANES Only
,"Serum IgE antibody to Egg , result (kU/L)",,serum ige antibody to egg result,,V,NHANES Only
,"Serum IgE antibody to German Cockroach, result (kU/L)",,serum ige antibody to german cockroach result,,V,NHANES Only
,"Serum IgE antibody to Peanut, result (kU/L)",,serum ige antibody to peanut result,,V,NHANES Only
,"Serum IgE antibody to Russian Thistle, result (kU/L)",,serum ige antibody to russian thistle result,,V,NHANES Only
